,cash,margin,realized_pnl,unrealized_pnl,equity,available
2023-12-07 15:30:00,42846.6834,0.0,-4130.0,0.0,42846.6834,43766.6834
2023-12-07 17:15:00,42846.6834,0.0,-4130.0,0.0,42846.6834,43766.6834
2023-12-07 18:15:00,42846.6834,0.0,-4130.0,0.0,42846.6834,43766.6834
2023-12-07 19:15:00,42836.858400000005,16375.0,-4130.0,0.0,42836.858400000005,26461.858400000005
2023-12-07 20:15:00,42836.858400000005,16375.0,-4130.0,-140.0,42696.858400000005,26321.858400000005
2023-12-07 21:15:00,42836.858400000005,16375.0,-4130.0,30.0,42866.858400000005,26491.858400000005
2023-12-07 22:15:00,42836.858400000005,16375.0,-4130.0,400.0,43236.858400000005,26861.858400000005
2023-12-07 23:15:00,42836.858400000005,16375.0,-4130.0,280.0,43116.858400000005,26741.858400000005
2023-12-08 00:15:00,42836.858400000005,16375.0,-4130.0,670.0,43506.858400000005,27131.858400000005
2023-12-08 01:15:00,42836.858400000005,16375.0,-4130.0,420.0,43256.858400000005,26881.858400000005
2023-12-08 02:15:00,42836.858400000005,16375.0,-4130.0,750.0,43586.858400000005,27211.858400000005
2023-12-08 09:30:00,42836.858400000005,16375.0,-4130.0,440.0,43276.858400000005,26901.858400000005
2023-12-08 10:30:00,42836.858400000005,16375.0,-4130.0,-440.0,42396.858400000005,26021.858400000005
2023-12-08 11:30:00,42836.858400000005,16375.0,-4130.0,-250.0,42586.858400000005,26211.858400000005
2023-12-08 13:30:00,42836.858400000005,16375.0,-4130.0,460.0,43296.858400000005,26921.858400000005
2023-12-08 14:30:00,42836.858400000005,16375.0,-4130.0,30.0,42866.858400000005,26491.858400000005
2023-12-08 15:30:00,42836.858400000005,16375.0,-4130.0,-250.0,42586.858400000005,26211.858400000005
2023-12-08 17:15:00,42836.858400000005,16375.0,-4130.0,-190.0,42646.858400000005,26271.858400000005
2023-12-08 18:15:00,42836.858400000005,16375.0,-4130.0,330.0,43166.858400000005,26791.858400000005
2023-12-08 19:15:00,42836.858400000005,16375.0,-4130.0,320.0,43156.858400000005,26781.858400000005
2023-12-08 20:15:00,42836.858400000005,16375.0,-4130.0,-30.0,42806.858400000005,26431.858400000005
2023-12-08 21:15:00,42157.0736,0.0,-4800.0,0.0,42157.0736,42127.0736
2023-12-08 22:15:00,42147.2456,16380.0,-4800.0,-720.0,41427.2456,25047.245600000002
2023-12-08 23:15:00,41507.4554,0.0,-5430.0,0.0,41507.4554,40787.4554
2023-12-09 00:15:00,41507.4554,0.0,-5430.0,0.0,41507.4554,40787.4554
2023-12-09 01:15:00,41507.4554,0.0,-5430.0,0.0,41507.4554,40787.4554
2023-12-09 02:15:00,41507.4554,0.0,-5430.0,0.0,41507.4554,40787.4554
2023-12-11 09:30:00,41507.4554,0.0,-5430.0,0.0,41507.4554,40787.4554
2023-12-11 10:30:00,41507.4554,0.0,-5430.0,0.0,41507.4554,40787.4554
2023-12-11 11:30:00,41507.4554,0.0,-5430.0,0.0,41507.4554,40787.4554
2023-12-11 13:30:00,41507.4554,0.0,-5430.0,0.0,41507.4554,40787.4554
2023-12-11 14:30:00,41507.4554,0.0,-5430.0,0.0,41507.4554,40787.4554
2023-12-11 15:30:00,41507.4554,0.0,-5430.0,0.0,41507.4554,40787.4554
2023-12-11 17:15:00,41507.4554,0.0,-5430.0,0.0,41507.4554,40787.4554
2023-12-11 18:15:00,41497.723399999995,16220.0,-5430.0,-10.0,41487.723399999995,25267.723399999995
2023-12-11 19:15:00,41497.723399999995,16220.0,-5430.0,-70.0,41427.723399999995,25207.723399999995
2023-12-11 20:15:00,41497.723399999995,16220.0,-5430.0,110.0,41607.723399999995,25387.723399999995
2023-12-11 21:15:00,41497.723399999995,16220.0,-5430.0,-10.0,41487.723399999995,25267.723399999995
2023-12-11 22:15:00,41497.723399999995,16220.0,-5430.0,260.0,41757.723399999995,25537.723399999995
2023-12-11 23:15:00,41497.723399999995,16220.0,-5430.0,740.0,42237.723399999995,26017.723399999995
2023-12-12 00:15:00,41497.723399999995,16220.0,-5430.0,1280.0,42777.723399999995,26557.723399999995
2023-12-12 01:15:00,41497.723399999995,16220.0,-5430.0,1190.0,42687.723399999995,26467.723399999995
2023-12-12 02:15:00,41497.723399999995,16220.0,-5430.0,1300.0,42797.723399999995,26577.723399999995
2023-12-12 09:30:00,41497.723399999995,16220.0,-5430.0,100.0,41597.723399999995,25377.723399999995
2023-12-12 10:30:00,41497.723399999995,16220.0,-5430.0,1240.0,42737.723399999995,26517.723399999995
2023-12-12 11:30:00,41497.723399999995,16220.0,-5430.0,1540.0,43037.723399999995,26817.723399999995
2023-12-12 13:30:00,41497.723399999995,16220.0,-5430.0,1300.0,42797.723399999995,26577.723399999995
2023-12-12 14:30:00,41497.723399999995,16220.0,-5430.0,2080.0,43577.723399999995,27357.723399999995
2023-12-12 15:30:00,41497.723399999995,16220.0,-5430.0,2130.0,43627.723399999995,27407.723399999995
2023-12-12 17:15:00,41497.723399999995,16220.0,-5430.0,1730.0,43227.723399999995,27007.723399999995
2023-12-12 18:15:00,41497.723399999995,16220.0,-5430.0,1970.0,43467.723399999995,27247.723399999995
2023-12-12 19:15:00,41497.723399999995,16220.0,-5430.0,2210.0,43707.723399999995,27487.723399999995
2023-12-12 20:15:00,41497.723399999995,16220.0,-5430.0,1810.0,43307.723399999995,27087.723399999995
2023-12-12 21:15:00,41497.723399999995,16220.0,-5430.0,1600.0,43097.723399999995,26877.723399999995
2023-12-12 22:15:00,42137.952399999995,0.0,-4780.0,0.0,42137.952399999995,43737.952399999995
2023-12-12 23:15:00,42137.952399999995,0.0,-4780.0,0.0,42137.952399999995,43737.952399999995
2023-12-13 00:15:00,42137.952399999995,0.0,-4780.0,0.0,42137.952399999995,43737.952399999995
2023-12-13 01:15:00,42137.952399999995,0.0,-4780.0,0.0,42137.952399999995,43737.952399999995
2023-12-13 02:15:00,42137.952399999995,0.0,-4780.0,0.0,42137.952399999995,43737.952399999995
2023-12-13 09:30:00,42137.952399999995,0.0,-4780.0,0.0,42137.952399999995,43737.952399999995
2023-12-13 10:30:00,42137.952399999995,0.0,-4780.0,0.0,42137.952399999995,43737.952399999995
2023-12-13 11:30:00,42137.952399999995,0.0,-4780.0,0.0,42137.952399999995,43737.952399999995
2023-12-13 13:30:00,42137.952399999995,0.0,-4780.0,0.0,42137.952399999995,43737.952399999995
2023-12-13 14:30:00,42137.952399999995,0.0,-4780.0,0.0,42137.952399999995,43737.952399999995
2023-12-13 15:30:00,42137.952399999995,0.0,-4780.0,0.0,42137.952399999995,43737.952399999995
2023-12-13 17:15:00,42137.952399999995,0.0,-4780.0,0.0,42137.952399999995,43737.952399999995
2023-12-13 18:15:00,42137.952399999995,0.0,-4780.0,0.0,42137.952399999995,43737.952399999995
2023-12-13 19:15:00,42137.952399999995,0.0,-4780.0,0.0,42137.952399999995,43737.952399999995
2023-12-13 20:15:00,42137.952399999995,0.0,-4780.0,0.0,42137.952399999995,43737.952399999995
2023-12-13 21:15:00,42128.172399999996,16300.0,-4780.0,-160.0,41968.172399999996,25668.172399999996
2023-12-13 22:15:00,41268.4434,0.0,-5630.0,0.0,41268.4434,41108.4434
2023-12-13 23:15:00,41268.4434,0.0,-5630.0,0.0,41268.4434,41108.4434
2023-12-14 00:15:00,41268.4434,0.0,-5630.0,0.0,41268.4434,41108.4434
2023-12-14 01:15:00,41268.4434,0.0,-5630.0,0.0,41268.4434,41108.4434
2023-12-14 02:15:00,41258.5458,16496.0,-5630.0,-3420.0,37838.5458,21342.5458
2023-12-14 09:30:00,41258.5458,16496.0,-5630.0,0.0,41258.5458,24762.5458
